Group,Item,Condition,Item_type,ConjunctType,ConjunctOrder,Agreement,Sentence,Verb
A,1,a,experimental,proper,preverbal,FCA,Ben ve Yıldız uzun zaman bekledim.,bekle-
B,1,b,experimental,proper,preverbal,LCA,Ben ve Yıldız uzun zaman bekledi.,bekle-
C,1,c,experimental,proper,preverbal,RA,Ben ve Yıldız uzun zaman bekledik.,bekle-
D,1,d,experimental,pronoun,preverbal,FCA,Ben ve sen uzun zaman bekledim.,bekle-
E,1,e,experimental,pronoun,preverbal,LCA,Ben ve sen uzun zaman bekledin.,bekle-
F,1,f,experimental,pronoun,preverbal,RA,Ben ve sen uzun zaman bekledik.,bekle-
G,1,g,experimental,proper,postverbal,FCA,Bekledi uzun zaman Yıldız ve ben.,bekle-
H,1,h,experimental,proper,postverbal,LCA,Bekledim uzun zaman Yıldız ve ben.,bekle-
I,1,i,experimental,proper,postverbal,RA,Bekledik uzun zaman Yıldız ve ben.,bekle-
J,1,j,experimental,pronoun,postverbal,FCA,Bekledin uzun zaman sen ve ben.,bekle-
K,1,k,experimental,pronoun,postverbal,LCA,Bekledim uzun zaman sen ve ben.,bekle-
L,1,l,experimental,pronoun,postverbal,RA,Bekledik uzun zaman sen ve ben.,bekle-
B,2,a,experimental,proper,preverbal,FCA,Ben ve Selim geçen gün telaşlandım.,telaşlan-
C,2,b,experimental,proper,preverbal,LCA,Ben ve Selim geçen gün telaşlandı.,telaşlan-
D,2,c,experimental,proper,preverbal,RA,Ben ve Selim geçen gün telaşlandık.,telaşlan-
E,2,d,experimental,pronoun,preverbal,FCA,Ben ve sen geçen gün telaşlandım.,telaşlan-
F,2,e,experimental,pronoun,preverbal,LCA,Ben ve sen geçen gün telaşlandın.,telaşlan-
G,2,f,experimental,pronoun,preverbal,RA,Ben ve sen geçen gün telaşlandık.,telaşlan-
H,2,g,experimental,proper,postverbal,FCA,Telaşlandı geçen gün Selim ve ben.,telaşlan-
I,2,h,experimental,proper,postverbal,LCA,Telaşlandım geçen gün Selim ve ben.,telaşlan-
J,2,i,experimental,proper,postverbal,RA,Telaşlandık geçen gün Selim ve ben.,telaşlan-
K,2,j,experimental,pronoun,postverbal,FCA,Telaşlandın geçen gün sen ve ben.,telaşlan-
L,2,k,experimental,pronoun,postverbal,LCA,Telaşlandım geçen gün sen ve ben.,telaşlan-
A,2,l,experimental,pronoun,postverbal,RA,Telaşlandık geçen gün sen ve ben.,telaşlan-
C,3,a,experimental,proper,preverbal,FCA,Ben ve Ömer geçen yaz taşındım.,taşın-
D,3,b,experimental,proper,preverbal,LCA,Ben ve Ömer geçen yaz taşındı.,taşın-
E,3,c,experimental,proper,preverbal,RA,Ben ve Ömer geçen yaz taşındık.,taşın-
F,3,d,experimental,pronoun,preverbal,FCA,Ben ve sen geçen yaz taşındım.,taşın-
G,3,e,experimental,pronoun,preverbal,LCA,Ben ve sen geçen yaz taşındın.,taşın-
H,3,f,experimental,pronoun,preverbal,RA,Ben ve sen geçen yaz taşındık.,taşın-
I,3,g,experimental,proper,postverbal,FCA,Taşındı geçen yaz Ömer ve ben.,taşın-
J,3,h,experimental,proper,postverbal,LCA,Taşındım geçen yaz Ömer ve ben.,taşın-
K,3,i,experimental,proper,postverbal,RA,Taşındık geçen yaz Ömer ve ben.,taşın-
L,3,j,experimental,pronoun,postverbal,FCA,Taşındın geçen yaz sen ve ben.,taşın-
A,3,k,experimental,pronoun,postverbal,LCA,Taşındım geçen yaz sen ve ben.,taşın-
B,3,l,experimental,pronoun,postverbal,RA,Taşındık geçen yaz sen ve ben.,taşın-
D,4,a,experimental,proper,preverbal,FCA,Ben ve Sevgi birkaç dakika güldüm.,gül-
E,4,b,experimental,proper,preverbal,LCA,Ben ve Sevgi birkaç dakika güldü.,gül-
F,4,c,experimental,proper,preverbal,RA,Ben ve Sevgi birkaç dakika güldük.,gül-
G,4,d,experimental,pronoun,preverbal,FCA,Ben ve sen birkaç dakika güldüm.,gül-
H,4,e,experimental,pronoun,preverbal,LCA,Ben ve sen birkaç dakika güldün.,gül-
I,4,f,experimental,pronoun,preverbal,RA,Ben ve sen birkaç dakika güldük.,gül-
J,4,g,experimental,proper,postverbal,FCA,Güldü birkaç dakika Sevgi ve ben.,gül-
K,4,h,experimental,proper,postverbal,LCA,Güldüm birkaç dakika Sevgi ve ben.,gül-
L,4,i,experimental,proper,postverbal,RA,Güldük birkaç dakika Sevgi ve ben.,gül-
A,4,j,experimental,pronoun,postverbal,FCA,Güldün birkaç dakika sen ve ben.,gül-
B,4,k,experimental,pronoun,postverbal,LCA,Güldüm birkaç dakika sen ve ben.,gül-
C,4,l,experimental,pronoun,postverbal,RA,Güldük birkaç dakika sen ve ben.,gül-
E,5,a,experimental,proper,preverbal,FCA,Ben ve Ahmet bu fotoğraflarda gülmüşüm.,gül-
F,5,b,experimental,proper,preverbal,LCA,Ben ve Ahmet bu fotoğraflarda gülmüş.,gül-
G,5,c,experimental,proper,preverbal,RA,Ben ve Ahmet bu fotoğraflarda gülmüşüz.,gül-
H,5,d,experimental,pronoun,preverbal,FCA,Ben ve sen bu fotoğraflarda gülmüşüm.,gül-
I,5,e,experimental,pronoun,preverbal,LCA,Ben ve sen bu fotoğraflarda gülmüşsün.,gül-
J,5,f,experimental,pronoun,preverbal,RA,Ben ve sen bu fotoğraflarda gülmüşüz.,gül-
K,5,g,experimental,proper,postverbal,FCA,Gülmüş bu fotoğraflarda Ahmet ve ben.,gül-
L,5,h,experimental,proper,postverbal,LCA,Gülmüşüm bu fotoğraflarda Ahmet ve ben.,gül-
A,5,i,experimental,proper,postverbal,RA,Gülmüşüz bu fotoğraflarda Ahmet ve ben.,gül-
B,5,j,experimental,pronoun,postverbal,FCA,Gülmüşsün bu fotoğraflarda sen ve ben.,gül-
C,5,k,experimental,pronoun,postverbal,LCA,Gülmüşüm bu fotoğraflarda sen ve ben.,gül-
D,5,l,experimental,pronoun,postverbal,RA,Gülmüşüz bu fotoğraflarda sen ve ben.,gül-
F,6,a,experimental,proper,preverbal,FCA,Ben ve Seçil saatler öncesinden vardım.,var-
G,6,b,experimental,proper,preverbal,LCA,Ben ve Seçil saatler öncesinden vardı.,var-
H,6,c,experimental,proper,preverbal,RA,Ben ve Seçil saatler öncesinden vardık.,var-
I,6,d,experimental,pronoun,preverbal,FCA,Ben ve sen saatler öncesinden vardım.,var-
J,6,e,experimental,pronoun,preverbal,LCA,Ben ve sen saatler öncesinden vardın.,var-
K,6,f,experimental,pronoun,preverbal,RA,Ben ve sen saatler öncesinden vardık.,var-
L,6,g,experimental,proper,postverbal,FCA,Vardı saatler öncesinden Seçil ve ben.,var-
A,6,h,experimental,proper,postverbal,LCA,Vardım saatler öncesinden Seçil ve ben.,var-
B,6,i,experimental,proper,postverbal,RA,Vardık saatler öncesinden Seçil ve ben.,var-
C,6,j,experimental,pronoun,postverbal,FCA,Vardın saatler öncesinden sen ve ben.,var-
D,6,k,experimental,pronoun,postverbal,LCA,Vardım saatler öncesinden sen ve ben.,var-
E,6,l,experimental,pronoun,postverbal,RA,Vardık saatler öncesinden sen ve ben.,var-
G,7,a,experimental,proper,preverbal,FCA,Ben ve Cemil otelin lobisinde bekledim.,bekle-
H,7,b,experimental,proper,preverbal,LCA,Ben ve Cemil otelin lobisinde bekledi.,bekle-
I,7,c,experimental,proper,preverbal,RA,Ben ve Cemil otelin lobisinde bekledik.,bekle-
J,7,d,experimental,pronoun,preverbal,FCA,Ben ve sen otelin lobisinde bekledim.,bekle-
K,7,e,experimental,pronoun,preverbal,LCA,Ben ve sen otelin lobisinde bekledin.,bekle-
L,7,f,experimental,pronoun,preverbal,RA,Ben ve sen otelin lobisinde bekledik.,bekle-
A,7,g,experimental,proper,postverbal,FCA,Bekledi otelin lobisinde Cemil ve ben.,bekle-
B,7,h,experimental,proper,postverbal,LCA,Bekledim otelin lobisinde Cemil ve ben.,bekle-
C,7,i,experimental,proper,postverbal,RA,Bekledik otelin lobisinde Cemil ve ben.,bekle-
D,7,j,experimental,pronoun,postverbal,FCA,Bekledin otelin lobisinde sen ve ben.,bekle-
E,7,k,experimental,pronoun,postverbal,LCA,Bekledim otelin lobisinde sen ve ben.,bekle-
F,7,l,experimental,pronoun,postverbal,RA,Bekledik otelin lobisinde sen ve ben.,bekle-
H,8,a,experimental,proper,preverbal,FCA,Ben ve Ege yıllar önce istifa ettim.,istifa et-
I,8,b,experimental,proper,preverbal,LCA,Ben ve Ege yıllar önce istifa etti.,istifa et-
J,8,c,experimental,proper,preverbal,RA,Ben ve Ege yıllar önce istifa ettik.,istifa et-
K,8,d,experimental,pronoun,preverbal,FCA,Ben ve sen yıllar önce istifa ettim.,istifa et-
L,8,e,experimental,pronoun,preverbal,LCA,Ben ve sen yıllar önce istifa ettin.,istifa et-
A,8,f,experimental,pronoun,preverbal,RA,Ben ve sen yıllar önce istifa ettik.,istifa et-
B,8,g,experimental,proper,postverbal,FCA,İstifa etti yıllar önce Ege ve ben.,istifa et-
C,8,h,experimental,proper,postverbal,LCA,İstifa ettim yıllar önce Ege ve ben.,istifa et-
D,8,i,experimental,proper,postverbal,RA,İstifa ettik yıllar önce Ege ve ben.,istifa et-
E,8,j,experimental,pronoun,postverbal,FCA,İstifa ettin yıllar önce sen ve ben.,istifa et-
F,8,k,experimental,pronoun,postverbal,LCA,İstifa ettim yıllar önce sen ve ben.,istifa et-
G,8,l,experimental,pronoun,postverbal,RA,İstifa ettik yıllar önce sen ve ben.,istifa et-
I,9,a,experimental,proper,preverbal,FCA,Ben ve Simge aylar öncesinden karar vermiştim.,karar ver-
J,9,b,experimental,proper,preverbal,LCA,Ben ve Simge aylar öncesinden karar vermişti.,karar ver-
K,9,c,experimental,proper,preverbal,RA,Ben ve Simge aylar öncesinden karar vermiştik.,karar ver-
L,9,d,experimental,pronoun,preverbal,FCA,Ben ve sen aylar öncesinden karar vermiştim.,karar ver-
A,9,e,experimental,pronoun,preverbal,LCA,Ben ve sen aylar öncesinden karar vermiştin.,karar ver-
B,9,f,experimental,pronoun,preverbal,RA,Ben ve sen aylar öncesinden karar vermiştik.,karar ver-
C,9,g,experimental,proper,postverbal,FCA,Karar vermişti aylar öncesinden Simge ve ben.,karar ver-
D,9,h,experimental,proper,postverbal,LCA,Karar vermiştim aylar öncesinden Simge ve ben.,karar ver-
E,9,i,experimental,proper,postverbal,RA,Karar vermiştik aylar öncesinden Simge ve ben.,karar ver-
F,9,j,experimental,pronoun,postverbal,FCA,Karar vermiştin aylar öncesinden sen ve ben.,karar ver-
G,9,k,experimental,pronoun,postverbal,LCA,Karar vermiştim aylar öncesinden sen ve ben.,karar ver-
H,9,l,experimental,pronoun,postverbal,RA,Karar vermiştik aylar öncesinden sen ve ben.,karar ver-
J,10,a,experimental,proper,preverbal,FCA,Ben ve Mustafa ödüller için gururlandım.,gururlan-
K,10,b,experimental,proper,preverbal,LCA,Ben ve Mustafa ödüller için gururlandı.,gururlan-
L,10,c,experimental,proper,preverbal,RA,Ben ve Mustafa ödüller için gururlandık.,gururlan-
A,10,d,experimental,pronoun,preverbal,FCA,Ben ve sen ödüller için gururlandım.,gururlan-
B,10,e,experimental,pronoun,preverbal,LCA,Ben ve sen ödüller için gururlandın.,gururlan-
C,10,f,experimental,pronoun,preverbal,RA,Ben ve sen ödüller için gururlandık.,gururlan-
D,10,g,experimental,proper,postverbal,FCA,Gururlandı ödüller için Mustafa ve ben. ,gururlan-
E,10,h,experimental,proper,postverbal,LCA,Gururlandım ödüller için Mustafa ve ben. ,gururlan-
F,10,i,experimental,proper,postverbal,RA,Gururlandık ödüller için Mustafa ve ben. ,gururlan-
G,10,j,experimental,pronoun,postverbal,FCA,Gururlandın ödüller için sen ve ben. ,gururlan-
H,10,k,experimental,pronoun,postverbal,LCA,Gururlandım ödüller için sen ve ben. ,gururlan-
I,10,l,experimental,pronoun,postverbal,RA,Gururlandık ödüller için sen ve ben. ,gururlan-
K,11,a,experimental,proper,preverbal,FCA,Ben ve Burcu günler öncesinde rahatladım.,rahatla-
L,11,b,experimental,proper,preverbal,LCA,Ben ve Burcu günler öncesinde rahatladı.,rahatla-
A,11,c,experimental,proper,preverbal,RA,Ben ve Burcu günler öncesinde rahatladık.,rahatla-
B,11,d,experimental,pronoun,preverbal,FCA,Ben ve sen günler öncesinden rahatladım.,rahatla-
C,11,e,experimental,pronoun,preverbal,LCA,Ben ve sen günler öncesinden rahatladın.,rahatla-
D,11,f,experimental,pronoun,preverbal,RA,Ben ve sen günler öncesinden rahatladık.,rahatla-
E,11,g,experimental,proper,postverbal,FCA,Rahatladı günler öncesinde Burcu ve ben.,rahatla-
F,11,h,experimental,proper,postverbal,LCA,Rahatladım günler öncesinde Burcu ve ben.,rahatla-
G,11,i,experimental,proper,postverbal,RA,Rahatladık günler öncesinde Burcu ve ben.,rahatla-
H,11,j,experimental,pronoun,postverbal,FCA,Rahatladın günler öncesinden sen ve ben.,rahatla-
I,11,k,experimental,pronoun,postverbal,LCA,Rahatladım günler öncesinden sen ve ben.,rahatla-
J,11,l,experimental,pronoun,postverbal,RA,Rahatladık günler öncesinden sen ve ben.,rahatla-
L,12,a,experimental,proper,preverbal,FCA,Ben ve Melike geçen partide bulundum.,açıkla-
A,12,b,experimental,proper,preverbal,LCA,Ben ve Melike geçen partide bulundu.,açıkla-
B,12,c,experimental,proper,preverbal,RA,Ben ve Melike geçen partide bulunduk.,açıkla-
C,12,d,experimental,pronoun,preverbal,FCA,Ben ve sen geçen partide bulundum.,açıkla-
D,12,e,experimental,pronoun,preverbal,LCA,Ben ve sen geçen partide bulundun.,açıkla-
E,12,f,experimental,pronoun,preverbal,RA,Ben ve sen geçen partide bulunduk.,açıkla-
F,12,g,experimental,proper,postverbal,FCA,Bulundu geçen partide Melike ve ben.,açıkla-
G,12,h,experimental,proper,postverbal,LCA,Bulundum geçen partide Melike ve ben.,açıkla-
