completionCode,trialNum,itemNum,condition,Value,sentence,conj1,conj2,ratingRT,is_sa,rating,suffix
CO439307,3,17,X-and-Y-li,iyi sayılır,Eylül kamp yaparken tepe ve nehirli bir alan seçti.,tepe,nehir,10740,1,4,-lI
CO439307,6,4,X-lik-and-Y-lik,kötü,Burak tatlı için limonluk ve portakallık bir tabak hazırlamış.,limon,portakal,11970,0,2,-lIk
CO439307,9,14,X-siz-and-Y-siz,iyi sayılır,Elif gençlik yıllarında faresiz ve aslansız bir oyun sahneledi.,fare,aslan,10758,0,4,-sIz
CO439307,12,3,X-and-Y-ci,kötü,Leyla eski çarşıda atkı ve şapkacı bir tuhafiyeye uğrayacakmış.,atkı,şapka,8020,1,2,-cI
CO439307,15,29,X-and-Y-lik,kötü,Melis çocuk kitabı için ejderha ve perilik bir seri başlatmayı düşündü.,ejderha,peri,8363,1,2,-lIk
CO439307,18,30,X-siz-and-Y-siz,kötü sayılır,Asuman dergi yazısı için düğünsüz ve cenazesiz bir program önerdi.,cenaze,düğün,11654,0,3,-sIz
CO439307,21,2,X-ci-and-Y-ci,kötü,Ömer yeni evine masacı ve sandalyeci bir usta getirdi.,masa,sandalye,7660,0,2,-cI
CO439307,24,25,X-and-Y-li,oldukça kötü,İzel toplantı sırasında burun ve boyunlu bir maske inceledi.,burun,boyun,6721,1,1,-lI
CO439307,27,26,X-ci-and-Y-ci,oldukça kötü,Sinan gece yarısı hayaletçi ve canavarcı bir yazarla röportaj yaptı.,hayalet,canavar,8440,0,1,-cI
CO439307,30,13,X-and-Y-lik,oldukça kötü,Emin geçen tatilde şehir ve köylük bir bölgeyi gezdi.,şehir,köy,5015,1,1,-lIk
CO439307,33,23,X-and-Y-siz,iyi,Jale geçen hafta çatal ve bıçaksız bir piknik yaptı.,çatal,bıçak,9201,1,5,-sIz
CO439307,36,15,X-and-Y-siz,kötü,Deniz misafir beklerken sürahi ve bardaksız bir sofra kurdu.,sürahi,bardak,8391,1,2,-sIz
CO439307,39,6,X-siz-and-Y-siz,iyi,Ali diyetteyken muzsuz ve havuçsuz bir kek yapardı.,muz,havuç,12850,0,5,-sIz
CO439307,42,16,X-li-and-Y-li,oldukça kötü,Okan üniversite yıllarında çiftlikli ve fabrikalı bir işletme kurdu.,çiftlik,fabrika,9201,0,1,-lI
CO439307,45,32,X-li-and-Y-li,kötü sayılır,Aydan restorasyon projesi için tabanlı ve tavanlı bir plan çizdi.,taban,tavan,13732,0,3,-lI
CO439307,48,24,X-li-and-Y-li,kötü sayılır,Neval ders çalışırken gözlü ve kulaklı bir robot gördü.,göz,kulak,11552,0,3,-lI
CO439307,51,27,X-and-Y-ci,oldukça kötü,Baran araştırması için orman ve çölcü bir araştırmacıyla anlaştı.,orman,çöl,9917,1,1,-cI
CO439307,54,21,X-and-Y-lik,oldukça kötü,Mertcan dün akşam abi ve ablalık bir hediye aldı.,abi,abla,10603,1,1,-lIk
CO439307,57,7,X-and-Y-siz,iyi,Dilek çeyiz alşverişi için battaniye ve halısız bir paket seçmiş.,battaniye,halı,7015,1,5,-sIz
CO439307,60,31,X-and-Y-siz,iyi sayılır,Tülay sonbahar koleksiyonu için gömlek ve pantolonsuz bir katalog inceledi.,gömlek,pantolon,7972,1,4,-sIz
CO439307,63,18,X-ci-and-Y-ci,oldukça kötü,Nevzat genç bir stajyerken okulcu ve camici bir mimarın eserlerini inceledi.,okul,cami,7029,0,1,-cI
CO439307,66,22,X-siz-and-Y-siz,oldukça kötü,Yankı geçen yaz atsız ve balıksız bir menü denedi.,at,balık,9814,0,1,-sIz
CO439307,69,12,X-lik-and-Y-lik,kötü,Merve aile mirasıyla evlik ve bahçelik bir arsa satın aldı.,ev,bahçe,10435,0,2,-lIk
CO439307,72,28,X-lik-and-Y-lik,kötü sayılır,Yasemin mezuniyetinden önce doktorluk ve avukatlık bir kimlik seçti.,avukat,doktor,12319,0,3,-lIk
CO439307,75,10,X-ci-and-Y-ci,oldukça kötü,Ali her hafta kedici ve köpekçi bir komşusuyla sohbet eder.,kedi,köpek,6007,0,1,-cI
CO439307,78,20,X-lik-and-Y-lik,iyi,Fehime düğünden önce büyükannelik ve dedelik ilişkisi üzerine bir roman okudu.,büyükanne,dede,10948,0,5,-lIk
CO439307,81,5,X-and-Y-lik,oldukça kötü,Ece yılbaşı için tablo ve vazoluk bir masa aldı.,tablo,vazo,10570,1,1,-lIk
CO439307,84,9,X-and-Y-li,oldukça kötü,Zeynep bu hafta anne ve babalı bir toplantıya katıldı.,anne,baba,5948,1,1,-lI
CO439307,87,19,X-and-Y-ci,oldukça kötü,Zühre son yolculukta gece ve gündüzcü bir rehberle tanıştı.,gece,gündüz,4665,1,1,-cI
CO439307,90,8,X-li-and-Y-li,iyi sayılır,Selin tamir için kapılı ve pencereli bir atölye tasarlamış.,kapı,pencere,9184,0,4,-lI
CO439307,93,1,X-and-Y-li,kötü,Emel geçen haftasonu çorap ve ayakkabılı bir takım aldı.,çorap,ayakkabı,5982,1,2,-lI
CO439307,96,11,X-and-Y-ci,kötü,Ahmet yabancı bir üniversitede bilim ve teknolojici bir araştırmaya katıldı.,bilim,teknoloji,6066,1,2,-cI
CO695316,3,10,X-and-Y-li,iyi,Ali geçen ay kedi ve köpekli bir veteriner kliniği açtı.,kedi,köpek,7000,1,5,-lI
CO695316,6,13,X-lik-and-Y-lik,iyi,Emin geçen tatilde şehirlik ve köylük bir bölgeyi gezdi.,şehir,köy,16935,0,5,-lIk
CO695316,9,16,X-and-Y-siz,iyi sayılır,Okan üniversite yıllarında çiftlik ve fabrikasız bir iş modeli önerdi.,çiftlik,fabrika,10841,1,4,-sIz
CO695316,12,20,X-and-Y-ci,oldukça iyi,Fehime düğünden önce büyükanne ve dedeci bir gelenek hakkında yazı okudu.,büyükanne,dede,18276,1,6,-cI
CO695316,15,23,X-siz-and-Y-siz,oldukça iyi,Jale geçen hafta çatalsız ve bıçaksız bir piknik yaptı.,çatal,bıçak,5878,0,6,-sIz
CO695316,18,17,X-li-and-Y-li,oldukça iyi,Eylül kamp yaparken tepeli ve nehirli bir alan seçti.,tepe,nehir,4530,0,6,-lI
CO695316,21,4,X-and-Y-ci,kötü sayılır,Burak tatlı için limon ve portakalcı bir satıcıdan sipariş vermiş.,limon,portakal,54875,1,3,-cI
CO695316,24,21,X-lik-and-Y-lik,kötü,Mertcan dün akşam abilik ve ablalık bir hediye aldı.,abi,abla,6118,0,2,-lIk
CO695316,27,18,X-and-Y-li,oldukça iyi,Nevzat genç bir stajyerken okul ve camili bir mahallede oturdu.,okul,cami,14346,1,6,-lI
CO695316,30,31,X-siz-and-Y-siz,oldukça iyi,Tülay sonbahar koleksiyonu için gömleksiz ve pantolonsuz bir katalog inceledi.,gömlek,pantolon,4883,0,6,-sIz
CO695316,33,27,X-ci-and-Y-ci,iyi sayılır,Baran araştırması için ormancı ve çölcü bir araştırmacıyla anlaştı.,orman,çöl,14799,0,4,-cI
CO695316,36,28,X-and-Y-ci,kötü,Yasemin mezuniyetinden önce doktor ve avukatçı bir derneğe katıldı.,avukat,doktor,8406,1,2,-cI
CO695316,39,3,X-ci-and-Y-ci,oldukça iyi,Leyla eski çarşıda atkıcı ve şapkacı bir tuhafiyeye uğrayacakmış.,atkı,şapka,4742,0,6,-cI
CO695316,45,11,X-ci-and-Y-ci,kötü sayılır,Ahmet yabancı bir üniversitede bilimci ve teknolojici bir araştırmaya katıldı.,bilim,teknoloji,8178,0,3,-cI
CO695316,48,8,X-and-Y-siz,oldukça iyi,Selin tamir için kapı ve penceresiz bir atölye tasarlamış.,kapı,pencere,5265,1,6,-sIz
CO695316,51,14,X-and-Y-lik,oldukça kötü,Elif takım oyununda fare ve aslanlık bir sembol seçti.,fare,aslan,6986,1,1,-lIk
CO695316,54,1,X-li-and-Y-li,oldukça iyi,Emel geçen haftasonu çoraplı ve ayakkabılı bir takım aldı.,çorap,ayakkabı,15976,0,6,-lI
CO695316,57,2,X-and-Y-li,oldukça iyi,Ömer yeni evine masa ve sandalyeli bir yemek odası kurdu.,masa,sandalye,3941,1,6,-lI
CO695316,60,22,X-and-Y-lik,iyi sayılır,Yankı geçen yaz at ve balıklık bir hayvanay bahçesi yaptırdı.,at,balık,11363,1,4,-lIk
CO695316,63,26,X-and-Y-li,oldukça iyi,Sinan gece yarısı hayalet ve canavarlı bir hikâye okudu.,hayalet,canavar,3225,1,6,-lI
CO695316,66,15,X-siz-and-Y-siz,oldukça iyi,Deniz misafir beklerken sürahisiz ve bardaksız bir sofra kurdu.,sürahi,bardak,3975,0,6,-sIz
CO695316,69,19,X-ci-and-Y-ci,oldukça iyi,Zühre son yolculukta gececi ve gündüzcü bir rehberle tanıştı.,gece,gündüz,5375,0,6,-cI
CO695316,72,7,X-siz-and-Y-siz,oldukça iyi,Dilek çeyiz alşverişi için battaniyesiz ve halısız bir paket seçmiş.,battaniye,halı,4070,0,6,-sIz
CO695316,75,24,X-and-Y-siz,iyi sayılır,Neval ders çalışırken göz ve kulaksız bir heykel çizdi.,göz,kulak,77209,1,4,-sIz
CO695316,78,30,X-and-Y-lik,iyi sayılır,Asuman dergi yazısı için düğün ve cenazelik bir tema belirledi.,cenaze,düğün,7387,1,4,-lIk
CO695316,81,29,X-lik-and-Y-lik,kötü sayılır,Melis çocuk kitabı için ejderhalık ve perilik bir seri başlatmayı düşündü.,ejderha,peri,7493,0,3,-lIk
CO695316,84,6,X-and-Y-lik,oldukça iyi,Ali diyetteyken muz ve havuçluk bir saklama kabı almıştı.,muz,havuç,7609,1,6,-lIk
CO695316,90,25,X-li-and-Y-li,kötü sayılır,İzel toplantı sırasında burunlu ve boyunlu bir maske inceledi.,burun,boyun,5590,0,3,-lI
CO695316,93,32,X-and-Y-siz,kötü,Aydan restorasyon projesi için taban ve tavansız bir oda düşündü.,taban,tavan,8782,1,2,-sIz
CO695316,96,9,X-li-and-Y-li,iyi,Zeynep bu hafta anneli ve babalı bir toplantıya katıldı.,anne,baba,5083,0,5,-lI
CO448745,2,17,X-siz-and-Y-siz,iyi,Eylül kamp yaparken tepesiz ve nehirsiz bir manzara gördü.,tepe,nehir,10283,0,5,-sIz
CO448745,5,24,X-and-Y-lik,oldukça kötü,Neval ders çalışırken göz ve kulaklık bir kutu açtı.,göz,kulak,6043,1,1,-lIk
