Group,Item,Condition,Item_type,ConjunctType,ConjunctOrder,Agreement,Sentence,Verb,Question,Answer1,Answer2,CorrectAnswer
A,1,a,grammatical,NA,NA,NA,Neşe Ahmet eve geldiğinde aslında uyuyordu.,locative,Cümlede 'ev' kelimesi geçti mi?,Evet,Hayır,Evet
A,2,a,grammatical,NA,NA,NA,Didem Serhat'ın markete gittiğini anlamadı galiba.,embedded,Cümlede 'pazar' kelimesi geçti mi?,Evet,Hayır,Hayır
A,3,a,grammatical,NA,NA,NA,Buğçe öğretmenlerle toplantı yapmadan karar verdi.,without,Buğçe karar vermiş mi?,Evet,Hayır,Evet
A,4,a,grammatical,NA,NA,NA,Büşra müdürler ile mesai yaptı.,simple,Büşra istifa etmiş mi?,Evet,Hayır,Hayır
A,5,a,grammatical,NA,NA,NA,Bircan dansçılarla beraber partiye katıldı.,simple,Dansçılar partiye katılmış mı?,Evet,Hayır,Evet
A,6,a,grammatical,NA,NA,NA,Sevgi garsonun bahşiş istemesine pek üzüldü.,embedded,Sevgi sevinmiş mi?,Evet,Hayır,Hayır
A,7,a,grammatical,NA,NA,NA,Kitapçı eksik ürünler için yardımcıyı suçladı. ,simple,Cümlede 'eksik' kelimesi geçti mi?,Evet,Hayır,Evet
A,8,a,grammatical,NA,NA,NA,Müşteri ürün hatası yüzünden satıcıyı azarladı.,simple,Cümlede 'alıcı' kelimesi geçti mi?,Evet,Hayır,Hayır
A,9,a,grammatical,NA,NA,NA,Patronun kadrodan stajyeri çıkarması şaşırtıcı.,nomsubject,Cümlede 'kadro' kelimesi geçti mi?,Evet,Hayır,Evet
A,10,a,grammatical,NA,NA,NA,Müdür koordinatörü arayacak diye bekliyoruz.,complementizer,Cümlede 'yönetici' kelimesi geçti mi?,Evet,Hayır,Hayır
A,11,a,grammatical,NA,NA,NA,Gelin yemeğe patronu çağıracak sandım.,complementizer,Cümlede 'gelin' kelimesi geçti mi?,Evet,Hayır,Evet
A,12,a,grammatical,NA,NA,NA,Kimyager asistanı net olarak kovdu.,simple,Cümlede 'kesin' kelimesi geçti mi?,Evet,Hayır,Hayır
A,13,a,grammatical,NA,NA,NA,Kimse Ali'nin olayı anlatmasına şaşırmadı.,NPI,Cümlede 'şaşırmak' kelimesi geçti mi?,Evet,Hayır,Evet
A,14,a,grammatical,NA,NA,NA,Hasan Ayça'nın kimseyle anlaşmamasını umuyor.,NPI,Cümlede 'tartışmak' kelimesi geçti mi?,Evet,Hayır,Hayır
A,15,a,grammatical,NA,NA,NA,Dedem bu olayı nereden duyduğumu bilmiyor.,question,Cümlede 'dede' kelimesi geçti mi?,Evet,Hayır,Evet
A,16,a,grammatical,NA,NA,NA,Ömer arkadaşlarının aramamasına üzüldü.,nominalizer,Cümlede 'sevgili' kelimesi geçti mi?,Evet,Hayır,Hayır
A,17,a,grammatical,NA,NA,NA,Son dakikada partiden vazgeçilmezine sinir olduk.,case,Cümlede 'vazgeçmek' kelimesi geçti mi?,Evet,Hayır,Evet
A,18,a,grammatical,NA,NA,NA,Diete başladıktan sonra şeker tüketmemeye karar verdim.,predicate,Cümlede 'tuz' kelimesi geçti mi?,Evet,Hayır,Hayır
A,19,a,grammatical,NA,NA,NA,Ayça'nın borcunu çoktan ödediğini duydum.,reported speech,Cümlede 'çoktan' kelimesi geçti mi?,Evet,Hayır,Evet
A,20,a,grammatical,NA,NA,NA,Kardeşim arkadaşlarının içtenlikle birbirlerini övmelerine şaşırdı.,anaphor,Cümlede 'ölmek' kelimesi geçti mi?,Evet,Hayır,Hayır
A,21,a,grammatical,NA,NA,NA,Bu bölgedeki inşaata aylar öncesinden başlanmıştı.,passive,Cümlede 'ay' kelimesi geçti mi?,Evet,Hayır,Evet
A,22,a,grammatical,NA,NA,NA,Selin ona ikramiye çıkmışcasına sevindi.,adverbial clause,Selin'e ikramiye çıktı mı?,Evet,Hayır,Hayır
A,23,a,grammatical,NA,NA,NA,Ceren dedikodu yapıldığını duydu ben de gördüm.,ellipsis,Dedikodu yapıldı mı?,Evet,Hayır,Evet
