item,condition,conjunct1,conjoiner,conjunct2,type,sentence,Ozge.is.ambiguous,Utku.is.ambiguous,"is.match(O,U)",isq,question,correct_answer,Group,,,,,,,,
1,a,çorap,ve,ayakkabı,exp,Emel geçen haftasonu çorap ve ayakkabıcı bir adamla tanıştı.,0,0,TRUE,0,,,A,,item,SUM of Ozge.is.ambiguous,,condition,SUM of Ozge.is.ambiguous,,
1,b,çorap,ve,ayakkabı,exp,Emel geçen haftasonu çorapçı ve ayakkabıcı bir adamla tanıştı.,0,0,TRUE,0,,,B,,,0,,,0,,
1,c,çorap,ve,ayakkabı,exp,Emel geçen haftasonu çorap ve ayakkabılı bir takım aldı.,1,1,TRUE,0,,,C,,1,4,,a,2,suspended.cI,30
1,d,çorap,ve,ayakkabı,exp,Emel geçen haftasonu çoraplı ve ayakkabılı bir takım aldı.,0,0,TRUE,0,,,D,,2,5,,b,1,,31
1,e,çorap,ve,ayakkabı,exp,Emel geçen haftasonu çorap ve ayakkabısız bir yoga eğitimi aldı.,1,1,TRUE,0,,,E,,3,2,,c,20,suspended.lI,12
1,f,çorap,ve,ayakkabı,exp,Emel geçen haftasonu çorapsız ve ayakkabısız bir yoga eğitimi aldı.,0,0,TRUE,0,,,F,,4,3,,d,0,lI,32
1,g,çorap,ve,ayakkabı,exp,Emel geçen haftasonu çorap ve ayakkabılık bir dolap aldı.,1,1,TRUE,0,,,G,,5,3,,e,18,suspended.sIz,14
1,h,çorap,ve,ayakkabı,exp,Emel geçen haftasonu çoraplık ve ayakkabılık bir dolap aldı.,1,1,TRUE,0,,,H,,6,1,,f,2,,30
2,a,masa,ve,sandalye,exp,Ömer yeni evine masa ve sandalyeci bir usta getirdi.,1,1,TRUE,0,,,B,,7,4,,g,23,suspended.lIk,9
2,b,masa,ve,sandalye,exp,Ömer yeni evine masacı ve sandalyeci bir usta getirdi.,1,1,TRUE,0,,,C,,8,3,,gram,0,,
2,c,masa,ve,sandalye,exp,Ömer yeni evine masa ve sandalyeli bir yemek odası kurdu.,1,1,TRUE,0,,,D,,9,0,,h,9,,23
2,d,masa,ve,sandalye,exp,Ömer yeni evine masalı ve sandalyeli bir yemek odası kurdu.,0,0,TRUE,0,,,E,,10,1,,ungram,0,,
2,e,masa,ve,sandalye,exp,Ömer yeni evine masa ve sandalyesiz bir mobilya takımı aldı.,1,1,TRUE,0,,,F,,11,1,,Grand Total,75,,
2,f,masa,ve,sandalye,exp,Ömer yeni evine masasız ve sandalyesiz bir mobilya takımı aldı.,0,0,TRUE,0,,,G,,12,2,,,,,
2,g,masa,ve,sandalye,exp,Ömer yeni evine masa ve sandalyelik bir renk seçti.,1,1,TRUE,0,,,H,,13,1,,,,,
2,h,masa,ve,sandalye,exp,Ömer yeni evine masalık ve sandalyelik bir renk seçti.,0,0,TRUE,0,,,A,,14,2,,,,,
3,a,atkı,ve,şapka,exp,Leyla eski çarşıda atkı ve şapkacı bir tuhafiyeye uğrayacakmış.,0,0,TRUE,0,,,C,,15,3,,,,,
3,b,atkı,ve,şapka,exp,Leyla eski çarşıda atkıcı ve şapkacı bir tuhafiyeye uğrayacakmış.,0,0,TRUE,0,,,D,,16,3,,,,,
3,c,atkı,ve,şapka,exp,Leyla eski çarşıda atkı ve şapkalı bir ünlüyle karşılaşmış.,0,0,TRUE,0,,,E,,17,4,,,,,
3,d,atkı,ve,şapka,exp,Leyla eski çarşıda atkılı ve şapkalı bir ünlüyle karşılaşmış.,0,0,TRUE,0,,,F,,18,2,,,,,
3,e,atkı,ve,şapka,exp,Leyla eski çarşıda atkı ve şapkasız bir çocuğa acımış.,0,0,TRUE,0,,,G,,19,0,,,,,
3,f,atkı,ve,şapka,exp,Leyla eski çarşıda atkısız ve şapkasız bir çocuğa acımış.,0,0,TRUE,0,,,H,,20,0,,,,,
3,g,atkı,ve,şapka,exp,Leyla eski çarşıda atkı ve şapkalık bir askı beğenmiş.,1,1,TRUE,0,,,A,,21,1,,,,,
3,h,atkı,ve,şapka,exp,Leyla eski çarşıda atkılık ve şapkalık bir askı beğenmiş.,1,1,TRUE,0,,,B,,22,2,,,,,
4,a,limon,ve,portakal,exp,Burak tatlı için limon ve portakalcı bir satıcıdan sipariş vermiş.,0,0,TRUE,0,,,D,,23,1,,,,,
4,b,limon,ve,portakal,exp,Burak tatlı için limoncu ve portakalcı bir satıcıdan sipariş vermiş.,0,0,TRUE,0,,,E,,24,3,,,,,
4,c,limon,ve,portakal,exp,Burak tatlı için limon ve portakallı bir tarif bulmuş.,1,1,TRUE,0,,,F,,25,2,,,,,
4,d,limon,ve,portakal,exp,Burak tatlı için limonlu ve portakallı bir tarif bulmuş.,0,0,TRUE,0,,,G,,26,2,,,,,
4,e,limon,ve,portakal,exp,Burak tatlı için limon ve portakalsız bir tarif bulmuş.,1,1,TRUE,0,,,H,,27,4,,,,,
4,f,limon,ve,portakal,exp,Burak tatlı için limonsuz ve portakalsız bir tarif bulmuş.,0,0,TRUE,0,,,A,,28,2,,,,,
4,g,limon,ve,portakal,exp,Burak tatlı için limon ve portakallık bir tabak hazırlamış.,1,1,TRUE,0,,,B,,29,3,,,,,
4,h,limon,ve,portakal,exp,Burak tatlı için limonluk ve portakallık bir tabak hazırlamış.,0,0,TRUE,0,,,C,,30,3,,,,,
5,a,tablo,ve,vazo,exp,Ece yılbaşı için tablo ve vazocu bir dükkana uğradı.,0,0,TRUE,0,,,E,,31,4,,,,,
5,b,tablo,ve,vazo,exp,Ece yılbaşı için tablocu ve vazocu bir dükkana uğradı.,0,0,TRUE,0,,,F,,32,4,,,,,
5,c,tablo,ve,vazo,exp,Ece yılbaşı için tablo ve vazolu bir masa aldı.,1,1,TRUE,0,,,G,,101,0,,,,,
5,d,tablo,ve,vazo,exp,Ece yılbaşı için tablolu ve vazolu bir masa aldı.,0,0,TRUE,0,,,H,,102,0,,,,,
5,e,tablo,ve,vazo,exp,Ece yılbaşı için tablo ve vazosuz bir masa seçti.,1,1,TRUE,0,,,A,,103,0,,,,,
5,f,tablo,ve,vazo,exp,Ece yılbaşı için tablosuz ve vazosuz bir masa seçti.,0,0,TRUE,0,,,B,,104,0,,,,,
5,g,tablo,ve,vazo,exp,Ece yılbaşı için tablo ve vazoluk bir masa aldı.,1,1,TRUE,0,,,C,,105,0,,,,,
5,h,tablo,ve,vazo,exp,Ece yılbaşı için tabloluk ve vazoluk bir masa aldı.,0,0,TRUE,0,,,D,,106,0,,,,,
6,a,muz,ve,havuç,exp,Ali diyetteyken muz ve havuççu bir tezgahtara uğrardı.,0,0,TRUE,0,,,F,,107,0,,,,,
